epi_week,date,state,city,ibgeID,newDeaths,deaths,newCases,totalCases,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases
12,2020-03-18,SP,Campinas/SP,3509502,0,0,1,1,0.000,0.082,0.000
12,2020-03-19,SP,Campinas/SP,3509502,0,0,0,1,0.000,0.082,0.000
12,2020-03-20,SP,Campinas/SP,3509502,0,0,0,1,0.000,0.082,0.000
12,2020-03-21,SP,Campinas/SP,3509502,0,0,0,1,0.000,0.082,0.000
13,2020-03-22,SP,Campinas/SP,3509502,0,0,0,1,0.000,0.082,0.000
13,2020-03-23,SP,Campinas/SP,3509502,0,0,0,1,0.000,0.082,0.000
13,2020-03-24,SP,Campinas/SP,3509502,0,0,0,1,0.000,0.082,0.000
13,2020-03-25,SP,Campinas/SP,3509502,0,0,3,4,0.000,0.327,0.000
13,2020-03-26,SP,Campinas/SP,3509502,0,0,0,4,0.000,0.327,0.000
13,2020-03-27,SP,Campinas/SP,3509502,0,0,1,5,0.000,0.409,0.000
13,2020-03-28,SP,Campinas/SP,3509502,0,0,0,5,0.000,0.409,0.000
14,2020-03-29,SP,Campinas/SP,3509502,0,0,0,5,0.000,0.409,0.000
14,2020-03-30,SP,Campinas/SP,3509502,0,0,6,11,0.000,0.899,0.000
14,2020-03-31,SP,Campinas/SP,3509502,1,1,4,15,0.082,1.226,0.067
14,2020-04-01,SP,Campinas/SP,3509502,0,1,7,22,0.082,1.799,0.045
14,2020-04-02,SP,Campinas/SP,3509502,0,1,1,23,0.082,1.880,0.043
14,2020-04-03,SP,Campinas/SP,3509502,0,1,1,24,0.082,1.962,0.042
14,2020-04-04,SP,Campinas/SP,3509502,3,4,2,26,0.327,2.126,0.154
15,2020-04-05,SP,Campinas/SP,3509502,0,4,0,26,0.327,2.126,0.154
15,2020-04-06,SP,Campinas/SP,3509502,0,4,2,28,0.327,2.289,0.143
15,2020-04-07,SP,Campinas/SP,3509502,0,4,22,50,0.327,4.088,0.080
15,2020-04-08,SP,Campinas/SP,3509502,1,5,22,72,0.409,5.886,0.069
15,2020-04-09,SP,Campinas/SP,3509502,0,5,11,83,0.409,6.785,0.060
15,2020-04-10,SP,Campinas/SP,3509502,0,5,17,100,0.409,8.175,0.050
15,2020-04-11,SP,Campinas/SP,3509502,0,5,0,100,0.409,8.175,0.050
16,2020-04-12,SP,Campinas/SP,3509502,0,5,6,106,0.409,8.666,0.047
16,2020-04-13,SP,Campinas/SP,3509502,0,5,1,107,0.409,8.747,0.047
16,2020-04-14,SP,Campinas/SP,3509502,0,5,5,112,0.409,9.156,0.045
16,2020-04-15,SP,Campinas/SP,3509502,0,5,30,142,0.409,11.609,0.035
16,2020-04-16,SP,Campinas/SP,3509502,2,7,7,149,0.572,12.181,0.047
16,2020-04-17,SP,Campinas/SP,3509502,0,7,15,164,0.572,13.407,0.043
16,2020-04-18,SP,Campinas/SP,3509502,0,7,20,184,0.572,15.042,0.038
17,2020-04-19,SP,Campinas/SP,3509502,0,7,0,184,0.572,15.042,0.038
17,2020-04-20,SP,Campinas/SP,3509502,0,7,8,192,0.572,15.696,0.036
17,2020-04-21,SP,Campinas/SP,3509502,0,7,7,199,0.572,16.268,0.035
17,2020-04-22,SP,Campinas/SP,3509502,2,9,3,202,0.736,16.514,0.045
17,2020-04-23,SP,Campinas/SP,3509502,0,9,9,211,0.736,17.249,0.043
17,2020-04-24,SP,Campinas/SP,3509502,2,11,18,229,0.899,18.721,0.048
17,2020-04-25,SP,Campinas/SP,3509502,0,11,27,256,0.899,20.928,0.043
